id,X_mm,Y_mm
0,269.00,221.00
1,277.00,213.00
2,277.00,205.00
3,277.00,197.00
4,277.00,189.00
5,277.00,181.00
6,277.00,173.00
7,277.00,165.00
8,277.00,157.00
9,277.00,149.00
10,277.00,141.00
11,277.00,133.00
12,277.00,125.00
13,277.00,117.00
14,277.00,109.00
15,277.00,101.00
16,277.00,93.00
17,277.00,85.00
18,277.00,77.00
19,285.00,85.00
20,285.00,93.00
21,285.00,101.00
22,285.00,109.00
23,285.00,117.00
24,285.00,125.00
25,285.00,133.00
26,285.00,141.00
27,285.00,149.00
28,285.00,157.00
29,285.00,165.00
30,285.00,173.00
31,285.00,181.00
32,285.00,189.00
33,285.00,197.00
34,293.00,157.00
35,293.00,149.00
36,293.00,133.00
37,293.00,125.00
38,293.00,117.00
39,293.00,109.00
40,293.00,101.00
41,293.00,93.00
42,29.00,109.00
43,29.00,117.00
44,29.00,125.00
45,37.00,157.00
46,37.00,133.00
47,37.00,125.00
48,37.00,117.00
49,37.00,109.00
50,37.00,101.00
51,45.00,101.00
52,45.00,109.00
53,45.00,117.00
54,45.00,125.00
55,45.00,133.00
56,45.00,141.00
57,45.00,149.00
58,45.00,157.00
59,45.00,165.00
60,45.00,173.00
61,53.00,189.00
62,53.00,181.00
63,53.00,173.00
64,53.00,165.00
65,53.00,157.00
66,53.00,149.00
67,53.00,141.00
68,53.00,133.00
69,53.00,125.00
70,53.00,117.00
71,53.00,109.00
72,53.00,101.00
73,53.00,93.00
74,61.00,85.00
75,61.00,93.00
76,61.00,101.00
77,61.00,109.00
78,61.00,117.00
79,61.00,125.00
80,61.00,133.00
81,61.00,141.00
82,61.00,149.00
83,61.00,157.00
84,61.00,165.00
85,61.00,173.00
86,61.00,181.00
87,61.00,189.00
88,69.00,205.00
89,69.00,197.00
90,69.00,189.00
91,69.00,181.00
92,69.00,173.00
93,69.00,165.00
94,69.00,157.00
95,69.00,149.00
96,69.00,141.00
97,69.00,133.00
98,69.00,125.00
99,69.00,117.00
100,69.00,109.00
101,69.00,101.00
102,69.00,93.00
103,69.00,85.00
104,77.00,85.00
105,77.00,93.00
106,77.00,101.00
107,77.00,109.00
108,77.00,117.00
109,77.00,125.00
110,77.00,133.00
111,77.00,141.00
112,77.00,149.00
113,77.00,157.00
114,77.00,165.00
115,77.00,173.00
116,77.00,181.00
117,77.00,189.00
118,77.00,197.00
119,77.00,205.00
120,77.00,213.00
121,77.00,221.00
122,85.00,221.00
123,85.00,213.00
124,85.00,205.00
125,85.00,197.00
126,85.00,189.00
127,85.00,181.00
128,85.00,173.00
129,85.00,165.00
130,85.00,157.00
131,85.00,149.00
132,85.00,141.00
133,85.00,133.00
134,85.00,125.00
135,85.00,117.00
136,85.00,109.00
137,85.00,101.00
138,85.00,93.00
139,85.00,85.00
140,93.00,85.00
141,93.00,93.00
142,93.00,101.00
143,93.00,109.00
144,93.00,117.00
145,93.00,125.00
146,93.00,133.00
147,93.00,141.00
148,93.00,149.00
149,93.00,157.00
150,93.00,165.00
151,93.00,173.00
152,93.00,181.00
153,93.00,189.00
154,93.00,197.00
155,93.00,205.00
156,93.00,213.00
157,93.00,221.00
158,93.00,229.00
159,101.00,229.00
160,101.00,221.00
161,101.00,213.00
162,101.00,205.00
163,101.00,197.00
164,101.00,189.00
165,101.00,181.00
166,101.00,173.00
167,101.00,165.00
168,101.00,157.00
169,101.00,149.00
170,101.00,141.00
171,101.00,133.00
172,101.00,125.00
173,101.00,117.00
174,101.00,109.00
175,101.00,101.00
176,101.00,93.00
177,101.00,85.00
178,109.00,85.00
179,109.00,93.00
180,109.00,101.00
181,109.00,109.00
182,109.00,117.00
183,109.00,125.00
184,109.00,133.00
185,109.00,141.00
186,109.00,149.00
187,109.00,157.00
188,109.00,165.00
189,109.00,173.00
190,109.00,181.00
191,109.00,189.00
192,109.00,197.00
193,109.00,205.00
194,109.00,213.00
195,109.00,221.00
196,109.00,229.00
197,117.00,229.00
198,117.00,221.00
199,117.00,213.00
200,117.00,205.00
201,117.00,197.00
202,117.00,189.00
203,117.00,181.00
204,117.00,173.00
205,117.00,165.00
206,117.00,157.00
207,117.00,149.00
208,117.00,141.00
209,117.00,133.00
210,117.00,125.00
211,117.00,117.00
212,117.00,109.00
213,117.00,101.00
214,117.00,93.00
215,117.00,85.00
216,117.00,77.00
217,125.00,77.00
218,125.00,85.00
219,125.00,93.00
220,125.00,101.00
221,125.00,109.00
222,125.00,117.00
223,125.00,125.00
224,125.00,133.00
225,125.00,141.00
226,125.00,149.00
227,125.00,157.00
228,125.00,165.00
229,125.00,173.00
230,125.00,181.00
231,125.00,189.00
232,125.00,197.00
233,125.00,205.00
234,125.00,213.00
235,125.00,221.00
236,125.00,229.00
237,133.00,213.00
238,133.00,205.00
239,133.00,197.00
240,133.00,189.00
241,133.00,181.00
242,133.00,173.00
243,133.00,165.00
244,133.00,157.00
245,133.00,149.00
246,133.00,141.00
247,133.00,133.00
248,133.00,125.00
249,133.00,117.00
250,133.00,109.00
251,133.00,101.00
252,133.00,93.00
253,133.00,85.00
254,133.00,77.00
255,141.00,77.00
256,141.00,85.00
257,141.00,93.00
258,141.00,101.00
259,141.00,109.00
260,141.00,117.00
261,141.00,125.00
262,141.00,133.00
263,141.00,141.00
264,141.00,149.00
265,141.00,157.00
266,141.00,165.00
267,141.00,173.00
268,141.00,181.00
269,141.00,189.00
270,141.00,197.00
271,141.00,205.00
272,141.00,213.00
273,149.00,229.00
274,149.00,221.00
275,149.00,213.00
276,149.00,205.00
277,149.00,197.00
278,149.00,189.00
279,149.00,181.00
280,149.00,173.00
281,149.00,165.00
282,149.00,157.00
283,149.00,149.00
284,149.00,141.00
285,149.00,133.00
286,149.00,125.00
287,149.00,117.00
288,149.00,109.00
289,149.00,101.00
290,149.00,93.00
291,149.00,85.00
292,149.00,77.00
293,157.00,77.00
294,157.00,85.00
295,157.00,93.00
296,157.00,101.00
297,157.00,109.00
298,157.00,117.00
299,157.00,125.00
300,157.00,133.00
301,157.00,141.00
302,157.00,149.00
303,157.00,157.00
